Player,Overall,Goals,Assists,Expected Goals,Pace,Shooting,Passing,Dribbling,Defending,Physicality,National Team,League,Club Team,Age,Height_cm,Weight_kg,Position
Max Aarons,73,0,1,0.0,81,42,62,73,69,74,England,Premier League,Bournemouth,24,171,69,RB
Brenden Aaronson,73,2,2,2.0,79,65,69,77,55,59,United States,Bundesliga,Union Berlin,23,177,69,CAM
Paxten Aaronson,69,0,1,0.1,74,61,64,72,45,48,United States,Bundesliga,Eint Frankfurt,21,175,63,CAM
Yunis Abdelhamid,75,4,0,3.4,32,33,57,62,76,78,Morocco,Ligue 1,Reims,36,190,83,CB
Salis Abdul Samed,76,0,0,0.8,60,49,66,69,74,79,Ghana,Ligue 1,Lens,24,179,69,CDM
Nabil Aberdin,57,0,0,0.0,53,25,44,40,59,59,France,La Liga,Getafe,22,180,75,CB
Laurent Abergel,75,2,1,1.1,65,50,69,72,71,75,France,Ligue 1,Lorient,31,170,65,CDM
Matthis Abline,71,5,0,3.8,77,72,56,72,24,55,France,Ligue 1,Nantes,21,182,81,ST
Zakaria Aboukhlal,75,3,0,2.8,84,72,69,75,41,75,Morocco,Ligue 1,Toulouse,24,179,74,RM
Tammy Abraham,78,1,0,0.6,78,76,65,75,36,77,England,Serie A,Roma,26,195,86,ST
Francesco Acerbi,84,3,1,1.6,60,50,64,65,86,80,Italy,Serie A,Inter,36,192,88,CB
Marcos Acuña,83,1,2,0.3,74,74,82,82,80,84,Argentina,La Liga,Sevilla,32,172,69,LB
Tyler Adams,77,0,0,0.0,77,50,68,72,77,74,United States,Premier League,Bournemouth,25,175,72,CDM
Junior Adamu,70,0,0,0.1,79,69,52,70,22,67,Austria,Bundesliga,Freiburg,23,183,81,ST
Sargis Adamyan,67,1,2,4.1,70,68,62,71,34,67,Armenia,Bundesliga,Köln,31,184,75,ST
Tosin Adarabioyo,78,2,0,0.7,72,35,63,63,78,78,England,Premier League,Fulham,26,196,80,CB
Elijah Adebayo,75,10,0,5.9,74,72,53,70,45,80,England,Premier League,Luton Town,26,193,89,ST
