,Player,Nationality,Position,Club Team,League,Age,Matches Played,Goals,Assists,Expected Goals
0,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,20,0,1,0.0
1,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,30,2,2,2.0
2,Paxten Aaronson,us USA,MF,Eint Frankfurt,de Bundesliga,19,7,0,1,0.1
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,1,0,0,0.0
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,31,4,0,3.4
5,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,27,0,0,0.8
6,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2,0,0,0.0
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,33,2,1,1.1
8,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,20,22,5,0,3.8
9,Abner,br BRA,DF,Betis,es La Liga,23,23,0,1,0.1
10,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,23,13,3,0,2.8
11,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,27,0,0,0.5
12,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,8,1,0,0.6
13,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,29,3,1,1.6
14,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,1,0,0,0.0
15,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,31,21,1,2,0.3
16,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,32,8,1,12.4
17,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,3,0,0,0.0
18,Junior Adamu,at AUT,"FW,MF",Freiburg,de Bundesliga,22,15,0,0,0.1
19,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,20,1,2,4.1
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,20,2,0,0.7
21,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,27,10,0,5.9
22,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,21,3,1,3.5
23,Simon Adingra,ci CIV,FW,Brighton,eng Premier League,21,31,6,1,4.3
24,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,15,0,0,0.4
25,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,23,4,6,3.3
26,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,24,1,2,0.3
27,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25,2,0,0,0.0
28,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22,8,0,0,0.2
29,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,36,0,1,1.1
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,32,1,1,2.4
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,4,0,0,0.0
32,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,1,0,0,0.0
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,12,0,0,0.9
34,Felix Agu,de GER,"DF,MF",Werder Bremen,de Bundesliga,23,24,0,0,0.9
35,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,27,21,1,0,1.5
36,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,30,25,1,3,1.4
37,Brandon Aguilera,cr CRC,FW,Nott'ham Forest,eng Premier League,20,1,0,0,0.0
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,21,20,0,0,0.5
39,Anel Ahmedhodžić,ba BIH,DF,Sheffield Utd,eng Premier League,24,31,2,0,3.1
40,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27,6,0,0,0.1
41,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,26,22,1,1,0.3
42,Rayan Aït-Nouri,dz ALG,"DF,MF",Wolves,eng Premier League,22,33,2,1,3.3
43,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,25,19,2,0,1.8
44,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,25,28,2,1,1.3
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29,26,2,0,5.3
46,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,28,30,2,0,1.9
47,Marley Aké,fr FRA,FW,Udinese,it Serie A,22,1,0,0,0.0
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28,29,2,2,2.5
49,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,19,31,2,2,3.2
50,Sergio Akieme,es ESP,DF,Almería,es La Liga,25,19,2,0,1.2
51,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,25,13,2,0,1.4
52,Ebenezer Akinsanmiro,ng NGA,MF,Inter,it Serie A,18,1,0,0,0.0
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,21,28,7,4,5.4
54,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25,2,0,0,0.0
55,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,25,8,0,0,0.1
56,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,30,19,0,0,0.5
57,David Akpan Ankeye,ng NGA,FW,Genoa,it Serie A,21,6,0,0,0.0
58,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,28,17,0,0,0.3
59,David Alaba,at AUT,DF,Real Madrid,es La Liga,31,14,0,1,1.0
60,Luis Alberto,es ESP,MF,Lazio,it Serie A,30,33,5,7,4.7
61,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37,26,0,1,0.4
62,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,32,1,0,0,0.0
63,Carlos Alcaraz,ar ARG,MF,Juventus,it Serie A,20,10,0,1,0.4
64,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,32,36,3,1,3.3
65,Omar Alderete,py PAR,DF,Getafe,es La Liga,26,31,0,1,1.2
66,Iván Alejo,es ESP,MF,Cádiz,es La Liga,28,30,0,2,0.5
67,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25,29,1,1,1.2
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24,28,3,4,2.6
69,Aboubacar Ali,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,17,9,0,1,0.2
70,Mohamed Ali Cho,fr FRA,"FW,MF",Real Sociedad,es La Liga,19,11,0,0,0.4
71,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,19,17,1,2,1.1
72,Faride Alidou,de GER,"FW,MF",Köln,de Bundesliga,22,26,4,0,3.0
73,Nabil Alioui,fr FRA,"MF,FW",Le Havre,fr Ligue 1,24,18,4,1,2.4
74,Alisson,br BRA,GK,Liverpool,eng Premier League,30,28,0,0,0.0
75,Tadeo Allende,ar ARG,"MF,FW",Celta Vigo,es La Liga,24,10,1,0,1.2
76,Jim Allevinah,ga GAB,"MF,DF",Clermont Foot,fr Ligue 1,28,29,2,1,2.6
77,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,23,18,2,1,0.6
78,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29,33,3,1,4.5
79,Pontus Almqvist,se SWE,"FW,MF",Lecce,it Serie A,24,30,2,1,2.3
80,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32,5,0,0,0.1
81,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22,11,0,0,0.0
82,Sergi Altimira,es ESP,MF,Betis,es La Liga,21,14,1,0,0.2
83,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,25,31,1,1,1.3
84,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,23,34,2,0,0.7
85,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,20,12,1,1,1.0
86,Julián Álvarez,ar ARG,"MF,FW",Manchester City,eng Premier League,23,36,11,8,13.0
87,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28,19,0,0,0.3
88,Skelly Alvero,fr FRA,MF,Lyon,fr Ligue 1,21,8,1,0,0.4
89,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,21,6,1,0,0.3
90,Papa Amadou Diallo,sn SEN,FW,Metz,fr Ligue 1,19,16,2,1,2.6
91,Selim Amallah,ma MAR,"FW,MF",Valencia,es La Liga,26,20,0,1,0.4
92,Amath,sn SEN,"FW,MF",Mallorca,es La Liga,27,15,0,0,1.6
93,Lorenzo Amatucci,it ITA,MF,Fiorentina,it Serie A,19,2,0,0,0.0
94,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,29,2,1,0,0.1
95,Zeki Amdouni,ch SUI,FW,Burnley,eng Premier League,22,34,5,1,5.8
96,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,25,12,0,1,0.1
97,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21,10,0,0,0.3
98,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,27,16,3,2,0.8
99,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,26,15,1,4,2.2
100,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,26,8,0,0,0.1
101,Kofi Amoako,de GER,MF,Wolfsburg,de Bundesliga,18,2,0,0,0.0
102,Sofyan Amrabat,ma MAR,"MF,DF",Manchester Utd,eng Premier League,26,21,0,0,0.1
103,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,27,38,2,3,1.7
