Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Nation,League,Team,Age,Height,Weight,Position
Kylian Mbappé,91,97,90,80,92,36,78,France,LALIGA EA SPORTS,Real Madrid,25,"182cm / 6'0""",75kg / 165lb,ST
Rodri,91,66,80,86,84,87,85,Spain,Premier League,Manchester City,28,"191cm / 6'3""",82kg / 181lb,CDM
Erling Haaland,91,88,92,70,81,45,88,Norway,Premier League,Manchester City,24,"195cm / 6'5""",94kg / 207lb,ST
Jude Bellingham,90,80,87,83,88,78,83,England,LALIGA EA SPORTS,Real Madrid,21,"186cm / 6'1""",75kg / 165lb,CAM
Vinicius Júnior,90,95,84,81,91,29,69,Brazil,LALIGA EA SPORTS,Real Madrid,24,"176cm / 5'9""",73kg / 161lb,LW
Kevin De Bruyne,90,67,87,94,87,65,78,Belgium,Premier League,Manchester City,33,"181cm / 5'11""",75kg / 165lb,CM
Harry Kane,90,65,93,84,83,49,82,England,Bundesliga,FC Bayern München,31,"188cm / 6'2""",86kg / 190lb,ST
Martin Ødegaard,89,70,82,89,89,67,66,Norway,Premier League,Arsenal,25,"178cm / 5'10""",68kg / 150lb,CM
Gianluigi Donnarumma,89,90,84,73,90,52,87,Italy,Ligue 1 McDonald's,Paris SG,25,"196cm / 6'5""",90kg / 198lb,GK
Alisson,89,86,85,85,89,56,90,Brazil,Premier League,Liverpool,31,"193cm / 6'4""",91kg / 201lb,GK
Thibaut Courtois,89,85,89,76,90,46,88,Belgium,LALIGA EA SPORTS,Real Madrid,32,"200cm / 6'7""",96kg / 212lb,GK
Lautaro Martínez,89,82,88,75,87,54,85,Argentina,Serie A Enilive,Lombardia FC,27,"174cm / 5'9""",72kg / 159lb,ST
Virgil van Dijk,89,78,60,71,71,89,86,Holland,Premier League,Liverpool,33,"193cm / 6'4""",92kg / 203lb,CB
Marc-André ter Stegen,89,86,85,89,91,47,86,Germany,LALIGA EA SPORTS,FC Barcelona,32,"187cm / 6'2""",85kg / 187lb,GK
Mohamed Salah,89,89,87,82,88,45,75,Egypt,Premier League,Liverpool,32,"175cm / 5'9""",72kg / 159lb,RW
Phil Foden,88,86,86,85,90,57,63,England,Premier League,Manchester City,24,"171cm / 5'7""",69kg / 152lb,RW
Lionel Messi,88,79,85,87,92,33,64,Argentina,MLS,Inter Miami CF,37,"169cm / 5'7""",67kg / 148lb,RW
Antoine Griezmann,88,80,88,87,89,59,75,France,LALIGA EA SPORTS,Atlético de Madrid,33,"176cm / 5'9""",73kg / 161lb,ST
Rúben Dias,88,67,39,70,69,89,87,Portugal,Premier League,Manchester City,27,"187cm / 6'2""",82kg / 181lb,CB
Robert Lewandowski,88,75,88,79,86,44,84,Poland,LALIGA EA SPORTS,FC Barcelona,36,"185cm / 6'1""",81kg / 179lb,ST
Federico Valverde,88,88,82,84,84,80,84,Uruguay,LALIGA EA SPORTS,Real Madrid,26,"182cm / 6'0""",78kg / 172lb,CM
Ederson,88,87,82,91,87,64,86,Brazil,Premier League,Manchester City,31,"188cm / 6'2""",86kg / 190lb,GK
Bernardo Silva,88,75,78,86,92,71,69,Portugal,Premier League,Manchester City,30,"173cm / 5'8""",64kg / 141lb,CM
Jan Oblak,88,85,90,78,87,46,86,Slovenia,LALIGA EA SPORTS,Atlético de Madrid,31,"188cm / 6'2""",87kg / 192lb,GK
Antonio Rüdiger,88,82,55,73,70,86,86,Germany,LALIGA EA SPORTS,Real Madrid,31,"190cm / 6'3""",86kg / 190lb,CB
Florian Wirtz,88,81,78,87,89,50,67,Germany,Bundesliga,Leverkusen,21,"177cm / 5'10""",71kg / 157lb,CAM
Gregor Kobel,88,87,86,73,89,44,87,Switzerland,Bundesliga,Borussia Dortmund,26,"195cm / 6'5""",88kg / 194lb,GK
William Saliba,87,82,39,70,74,87,83,France,Premier League,Arsenal,23,"193cm / 6'4""",85kg / 187lb,CB
Victor Osimhen,87,89,84,65,81,42,82,Nigeria,Serie A Enilive,SSC Napoli,25,"186cm / 6'1""",77kg / 170lb,ST
Jamal Musiala,87,84,81,78,90,63,64,Germany,Bundesliga,FC Bayern München,21,"184cm / 6'0""",72kg / 159lb,CAM
Bukayo Saka,87,85,83,81,88,60,70,England,Premier League,Arsenal,23,"178cm / 5'10""",65kg / 143lb,RW
